Brand,Model,Form Factor,Cybenetics Rating,20W Efficiency,40W Efficiency,60W Efficiency,80W Efficiency,Report Link
SilverStone,Strider Platinum 1200W (#2),ATX12V,PLATINUM,"68,50%","77,56%","83,66%","85,93%",https://www.cybenetics.com/d/cybenetics_8rc.pdf
Corsair,CX650F RGB,ATX12V,GOLD,"68,49%","78,84%","83,30%","85,44%",https://www.cybenetics.com/d/cybenetics_im2.pdf
XPG,Cybercore II 1300 Platinum,ATX12V,PLATINUM,"68,49%","77,36%","80,74%","82,75%",https://www.cybenetics.com/d/cybenetics_RX9.pdf
Antec,HCG850 Gold,ATX12V,PLATINUM,"68,47%","79,52%","84,00%","86,32%",https://www.cybenetics.com/d/cybenetics_SLZ.pdf
SilverStone,SX1000 Platinum,SFX-L,PLATINUM,"68,47%","76,27%","81,92%","83,50%",https://www.cybenetics.com/d/cybenetics_WDM.pdf
Corsair,AX1600i (Sample #2),ATX12V,TITANIUM,"68,46%","81,70%","85,52%","88,18%",https://www.cybenetics.com/d/cybenetics_DNX.pdf
Aerocool,Aero Bronze 650W,ATX12V,SILVER,"68,41%","79,62%","84,13%","86,49%",https://www.cybenetics.com/d/cybenetics_Whz.pdf
Corsair,HX750 (Sample #2),ATX12V,PLATINUM,"68,40%","81,70%","84,54%","86,90%",https://www.cybenetics.com/d/cybenetics_l2Q.pdf
Green,Overclocking DG 1050W (#2),ATX12V,PLATINUM,"68,40%","80,14%","85,06%","87,37%",https://www.cybenetics.com/d/cybenetics_3is.pdf
Cooler Master,V850 Gold,ATX12V,,"68,38%","79,25%","83,48%","85,94%",https://www.cybenetics.com/d/cybenetics_YiI.pdf
Phanteks,AMP 650W,ATX12V,GOLD,"68,37%","79,53%","83,88%","86,35%",https://www.cybenetics.com/d/cybenetics_H4p.pdf
Super Flower,Leadex V Pro Platinum 1000W,ATX12V,PLATINUM,"68,35%","79,37%","83,89%","86,01%",https://www.cybenetics.com/d/cybenetics_xUM.pdf
Riotoro,Enigma 850W,ATX12V,GOLD,"68,32%","78,54%","83,67%","85,93%",https://www.cybenetics.com/d/cybenetics_BhK.pdf
Thermaltake,Smart RGB 700W,ATX12V,BRONZE,"68,30%","76,80%","79,87%","81,74%",https://www.cybenetics.com/d/cybenetics_VAI.pdf
Thermaltake,Toughpower Grand RGB 850W Platinum,ATX12V,SILVER,"68,29%","79,46%","84,67%","86,90%",https://www.cybenetics.com/d/cybenetics_2hY.pdf
Corsair,RM750x (Sample #2),ATX12V,,"68,26%","80,13%","83,87%","86,12%",https://www.cybenetics.com/d/cybenetics_7Ms.pdf
FSP Technology Inc.,HPT650M Hydro (#3),ATX12V,PLATINUM,"68,24%","82,07%","84,48%","86,53%",https://www.cybenetics.com/d/cybenetics_Uef.pdf
Thermaltake,Toughpower Grand Gold 750W,ATX12V,GOLD,"68,23%","81,22%","85,30%","87,46%",https://www.cybenetics.com/d/cybenetics_JAB.pdf
Casecom,CK-A500 (#2),ATX12V,BRONZE,"68,16%","77,19%","80,62%","82,29%",https://www.cybenetics.com/d/cybenetics_qV6.pdf
Cooler Master,V750 Gold (#2),ATX12V,,"68,16%","79,12%","83,45%","85,85%",https://www.cybenetics.com/d/cybenetics_q8W.pdf
Corsair,RM650x (2018),ATX12V,GOLD,"68,14%","79,19%","83,87%","86,81%",https://www.cybenetics.com/d/cybenetics_f2m.pdf
Micronics,Caslon II 600,ATX12V,BRONZE,"68,12%","76,81%","80,68%","82,71%",https://www.cybenetics.com/d/cybenetics_rZG.pdf
be quiet!,Pure Power 10 600W,ATX12V,SILVER,"68,09%","79,48%","84,02%","86,01%",https://www.cybenetics.com/d/cybenetics_Sjq.pdf
EVGA,450 BT,ATX12V,,"68,09%","77,46%","81,13%","82,99%",https://www.cybenetics.com/d/cybenetics_tHQ.pdf
Thermaltake,Toughpower Grand Gold 650W,ATX12V,GOLD,"68,09%","81,30%","85,34%","87,47%",https://www.cybenetics.com/d/cybenetics_ML7.pdf
Corsair,HX1500i (2022),ATX12V,PLATINUM,"68,03%","75,93%","79,78%","81,12%",https://www.cybenetics.com/d/cybenetics_PCO.pdf
Casecom,CK-A500,ATX12V,BRONZE,"68,01%","77,05%","80,64%","82,70%",https://www.cybenetics.com/d/cybenetics_NVa.pdf
Cooler Master,MWE Gold 550 V2 (Fixed),ATX12V,GOLD,"68,01%","78,42%","82,80%","85,10%",https://www.cybenetics.com/d/cybenetics_THO.pdf
Zalman,GigaMax III 850W,ATX12V,SILVER,"68,01%","77,77%","82,70%","85,34%",https://www.cybenetics.com/d/cybenetics_dGC.pdf
Zalman,GigaMax III 850W,ATX12V,SILVER,"68,01%","77,77%","82,70%","85,34%",https://www.cybenetics.com/d/cybenetics_dGC.pdf
SilverStone,Strider Essential 500W 230V,ATX12V,BRONZE,"67,95%","78,12%","82,20%","84,29%",https://www.cybenetics.com/d/cybenetics_ZvM.pdf
Thermaltake,Toughpower TF1 1550W,ATX12V,PLATINUM,"67,91%","79,88%","84,90%","87,73%",https://www.cybenetics.com/d/cybenetics_hpj.pdf
Antec,Earth Watts Gold Pro 750W,ATX12V,GOLD,"67,88%","79,24%","83,48%","85,78%",https://www.cybenetics.com/d/cybenetics_w7y.pdf
Cooler Master,MWE Gold 750W V2 (#2),ATX12V,GOLD,"67,87%","79,64%","83,75%","86,10%",https://www.cybenetics.com/d/cybenetics_Ox9.pdf
EVGA,SuperNOVA 1000 G5 (Sample #2),ATX12V,GOLD,"67,85%","78,95%","83,49%","85,47%",https://www.cybenetics.com/d/cybenetics_0zf.pdf
Cooler Master,MWE Gold 750W V2,ATX12V,GOLD,"67,84%","78,85%","83,57%","85,54%",https://www.cybenetics.com/d/cybenetics_HsL.pdf
Cooler Master,MWE Gold V2 1050W (#2),ATX12V,PLATINUM,"67,84%","79,20%","84,04%","86,74%",https://www.cybenetics.com/d/cybenetics_cHm.pdf
Enermax,Revolution D.F. 850W,ATX12V,GOLD,"67,74%","78,82%","83,30%","85,23%",https://www.cybenetics.com/d/cybenetics_Gvk.pdf
Cooler Master,V750 Gold,ATX12V,GOLD,"67,73%","79,04%","83,31%","85,67%",https://www.cybenetics.com/d/cybenetics_gEF.pdf
ABKO,Settler 2 800W,ATX12V,SILVER,"67,72%","78,89%","83,90%","86,26%",https://www.cybenetics.com/d/cybenetics_PiE.pdf
SilverStone,Strider Essential 600W 230V,ATX12V,BRONZE,"67,72%","76,38%","80,68%","83,11%",https://www.cybenetics.com/d/cybenetics_mGK.pdf
XPG,Pylon 450W (#2),ATX12V,BRONZE,"67,72%","78,03%","82,27%","83,72%",https://www.cybenetics.com/d/cybenetics_2pI.pdf
Montech,Gamma II 750W,ATX12V,GOLD,"67,66%","80,29%","84,33%","86,79%",https://www.cybenetics.com/d/cybenetics_RxX.pdf
XPG,Cybercore 1300 Platinum,ATX12V,PLATINUM,"67,65%","77,21%","80,55%","83,19%",https://www.cybenetics.com/d/cybenetics_XiN.pdf
Corsair,TX550M (Sample #2),ATX12V,GOLD,"67,62%","78,99%","83,71%","86,21%",https://www.cybenetics.com/d/cybenetics_YQI.pdf
Antec,HCG850 Gold (#2),ATX12V,PLATINUM,"67,58%","79,61%","84,02%","86,44%",https://www.cybenetics.com/d/cybenetics_E0J.pdf
EVGA,SuperNOVA 750 G5,ATX12V,,"67,55%","78,29%","82,74%","84,87%",https://www.cybenetics.com/d/cybenetics_CQH.pdf
ABKO,Settler 2 700W,ATX12V,SILVER,"67,54%","78,95%","83,76%","86,11%",https://www.cybenetics.com/d/cybenetics_4UU.pdf
Corsair,HX1000,ATX12V,PLATINUM,"67,51%","79,12%","84,78%","86,66%",https://www.cybenetics.com/d/cybenetics_shI.pdf
FSP Technology Inc.,AURUM PT 1000W (#2),ATX12V,GOLD,"67,49%","79,42%","83,60%","86,09%",https://www.cybenetics.com/d/cybenetics_4Wh.pdf
Cooler Master,MWE Gold 750,ATX12V,GOLD,"67,47%","78,74%","83,37%","85,89%",https://www.cybenetics.com/d/cybenetics_DbN.pdf
Corsair,RM650i,ATX12V,,"67,47%","78,86%","83,35%","85,56%",https://www.cybenetics.com/d/cybenetics_tb6.pdf
XPG,Cybercore 1000 Platinum,ATX12V,PLATINUM,"67,44%","76,26%","80,51%","82,81%",https://www.cybenetics.com/d/cybenetics_hS6.pdf
Chieftec,Proton 600W,ATX12V,SILVER,"67,43%","77,08%","81,07%","82,50%",https://www.cybenetics.com/d/cybenetics_qnU.pdf
SilverStone,Strider Platinum 1000W,ATX12V,PLATINUM,"67,42%","78,57%","83,36%","85,83%",https://www.cybenetics.com/d/cybenetics_5pL.pdf
Cougar,GX-F550 (#2),ATX12V,SILVER,"67,41%","79,13%","83,50%","85,85%",https://www.cybenetics.com/d/cybenetics_YZB.pdf
Thermaltake,Smart BM2 450W,ATX12V,BRONZE,"67,41%","77,63%","82,20%","83,72%",https://www.cybenetics.com/d/cybenetics_XTM.pdf
Cougar,GX-F550,ATX12V,SILVER,"67,38%","78,86%","83,36%","85,85%",https://www.cybenetics.com/d/cybenetics_wso.pdf
FSP Technology Inc.,AURUM PT 1000W,ATX12V,PLATINUM,"67,36%","79,23%","83,80%","86,11%",https://www.cybenetics.com/d/cybenetics_8Dc.pdf
Thermaltake,Toughpower GF1 650W,ATX12V,GOLD,"67,36%","77,90%","85,34%","87,48%",https://www.cybenetics.com/d/cybenetics_w3i.pdf
SilverStone,Strider Essential 700W 230V,ATX12V,BRONZE,"67,34%","78,03%","81,83%","84,10%",https://www.cybenetics.com/d/cybenetics_jsv.pdf
FSP Technology Inc.,ATX-600PNR-I,ATX12V,,"67,30%","76,28%","80,35%","82,49%",https://www.cybenetics.com/d/cybenetics_1zd.pdf
FSP Technology Inc.,Dagger 600W,SFX,,"67,29%","78,47%","82,65%","84,28%",https://www.cybenetics.com/d/cybenetics_mGf.pdf
Casecom,650W,ATX12V,SILVER,"67,27%","77,36%","81,94%","84,19%",https://www.cybenetics.com/d/cybenetics_vJH.pdf
FSP Technology Inc.,Hydro G Pro 850W,ATX12V,PLATINUM,"67,26%","78,34%","82,93%","85,41%",https://www.cybenetics.com/d/cybenetics_F4n.pdf
Cooler Master,G700 Gold,ATX12V,GOLD,"67,20%","78,57%","83,47%","86,08%",https://www.cybenetics.com/d/cybenetics_8KO.pdf
Cooler Master,G600 Gold,ATX12V,GOLD,"67,12%","78,91%","83,50%","85,80%",https://www.cybenetics.com/d/cybenetics_5RV.pdf
Raijintek,Cratos 1200W,ATX12V,GOLD,"67,11%","77,39%","84,45%","86,75%",https://www.cybenetics.com/d/cybenetics_Kca.pdf
Corsair,RM850x (2018) (Sample #4),ATX12V,GOLD,"67,05%","78,33%","82,94%","86,30%",https://www.cybenetics.com/d/cybenetics_7Gl.pdf
Cooler Master,MWE Gold 750 V2 (Fixed),ATX12V,GOLD,"67,04%","78,00%","82,83%","85,46%",https://www.cybenetics.com/d/cybenetics_F3c.pdf
Seasonic,Prime TX-1300 ATX3.0,ATX12V,TITANIUM,"67,04%","81,46%","86,21%","88,81%",https://www.cybenetics.com/d/cybenetics_k4Q.pdf
Corsair,VS450,ATX12V,BRONZE,"66,95%","76,59%","80,24%","82,19%",https://www.cybenetics.com/d/cybenetics_aH1.pdf
Corsair,RM750x (2018) (Sample #3),ATX12V,GOLD,"66,93%","78,43%","83,55%","85,63%",https://www.cybenetics.com/d/cybenetics_iWX.pdf
Cooler Master,MWE Gold 850W V2,ATX12V,GOLD,"66,92%","78,13%","83,18%","85,06%",https://www.cybenetics.com/d/cybenetics_MZ6.pdf
FSP Technology Inc.,Hydro G Pro 1000W,ATX12V,GOLD,"66,90%","78,00%","82,92%","85,72%",https://www.cybenetics.com/d/cybenetics_bCz.pdf
Micronics,Coolmax Focus II 900W,ATX12V,SILVER,"66,90%","76,01%","81,22%","83,03%",https://www.cybenetics.com/d/cybenetics_8n0.pdf
Gamemax,GM500 rev.2,ATX12V,BRONZE,"66,89%","77,57%","81,78%","83,49%",https://www.cybenetics.com/d/cybenetics_NNw.pdf
Seasonic,S12III-650,ATX12V,BRONZE,"66,88%","76,66%","80,52%","82,43%",https://www.cybenetics.com/d/cybenetics_dhe.pdf
Corsair,RM850x (2018) (Sample #3),ATX12V,GOLD,"66,87%","78,44%","83,03%","86,35%",https://www.cybenetics.com/d/cybenetics_0c7.pdf
SilverStone,Strider Titanium 1300W,ATX12V,PLATINUM,"66,85%","78,11%","83,07%","85,80%",https://www.cybenetics.com/d/cybenetics_63W.pdf
Super Flower,Leadex Titanium 1600W,ATX12V,SILVER,"66,84%","78,23%","83,32%","85,93%",https://www.cybenetics.com/d/cybenetics_rX0.pdf
1st Player,Steampunk 850W,ATX12V,GOLD,"66,83%","78,51%","83,56%","86,03%",https://www.cybenetics.com/d/cybenetics_56P.pdf
SilverStone,HELA 1300R Platinum,ATX12V,PLATINUM,"66,83%","73,59%","79,57%","84,26%",https://www.cybenetics.com/d/cybenetics_ECG.pdf
Cooler Master,MWE Gold 850W V2 (#2),ATX12V,GOLD,"66,82%","77,86%","82,76%","84,81%",https://www.cybenetics.com/d/cybenetics_vpa.pdf
Kolink,Enclave 600W,ATX12V,GOLD,"66,81%","79,45%","83,29%","85,50%",https://www.cybenetics.com/d/cybenetics_FFI.pdf
Cooler Master,MWE Gold 650 V2 (Fixed),ATX12V,GOLD,"66,77%","77,95%","82,53%","85,39%",https://www.cybenetics.com/d/cybenetics_jA6.pdf
XPG,Pylon 450W,ATX12V,BRONZE,"66,75%","77,43%","81,57%","83,35%",https://www.cybenetics.com/d/cybenetics_xXP.pdf
Cooler Master,MWE Gold V2 1250W,ATX12V,PLATINUM,"66,74%","78,33%","82,94%","85,88%",https://www.cybenetics.com/d/cybenetics_4JH.pdf
Raijintek,Ermis 550B,SFX,SILVER,"66,74%","77,51%","82,53%","84,68%",https://www.cybenetics.com/d/cybenetics_6ya.pdf
Thermaltake,TR2 S 700W,ATX12V,BRONZE,"66,73%","76,81%","80,07%","82,57%",https://www.cybenetics.com/d/cybenetics_hhp.pdf
Kolink,Enclave 500W,ATX12V,GOLD,"66,71%","79,58%","83,70%","86,12%",https://www.cybenetics.com/d/cybenetics_Hrp.pdf
Asus,ROG-THOR-850P (#1),ATX12V,PLATINUM,"66,67%","78,91%","83,40%","85,81%",https://www.cybenetics.com/d/cybenetics_ZTx.pdf
Cooler Master,MWE Gold V2 1050W,ATX12V,PLATINUM,"66,67%","78,91%","83,40%","85,81%",https://www.cybenetics.com/d/cybenetics_QOE.pdf
Kinpower,PS850GM,ATX12V,PLATINUM,"66,64%","83,46%","86,83%","88,67%",https://www.cybenetics.com/d/cybenetics_MKW.pdf
Seasonic,Prime PX-1600 ATX 3.0,ATX12V,TITANIUM,"66,63%","79,48%","85,10%","87,91%",https://www.cybenetics.com/d/cybenetics_q9D.pdf
Corsair,RM850x (2018),ATX12V,GOLD,"66,60%","78,14%","82,76%","86,05%",https://www.cybenetics.com/d/cybenetics_C3N.pdf
Corsair,RM750x (2018) (Sample #2),ATX12V,GOLD,"66,57%","78,15%","83,39%","85,89%",https://www.cybenetics.com/d/cybenetics_58B.pdf
High Power,HP1-H1050GD-F14C,ATX12V,GOLD,"66,52%","78,61%","82,74%","85,43%",https://www.cybenetics.com/d/cybenetics_Ya6.pdf
Super Flower,Leadex VII XG 1300W,ATX12V,PLATINUM,"66,47%","78,90%","84,18%","86,40%",https://www.cybenetics.com/d/cybenetics_YPY.pdf
Corsair,RM1000x,ATX12V,PLATINUM,"66,40%","79,48%","82,36%","85,03%",https://www.cybenetics.com/d/cybenetics_j21.pdf
be quiet!,SFX L Power 600W,SFX-L,GOLD,"66,38%","78,72%","84,09%","86,27%",https://www.cybenetics.com/d/cybenetics_wsc.pdf
Kolink,Enclave 500W (#2),ATX12V,GOLD,"66,37%","79,64%","83,98%","86,19%",https://www.cybenetics.com/d/cybenetics_XdD.pdf
Channel Well Technology,CSB650V-B (#2),ATX12V,SILVER,"66,20%","77,65%","82,39%","84,34%",https://www.cybenetics.com/d/cybenetics_cl7.pdf
Antec,HCG1000 Extreme,ATX12V,PLATINUM,"66,18%","79,03%","83,84%","86,66%",https://www.cybenetics.com/d/cybenetics_TvR.pdf
be quiet!,Pure Power 10 700W,ATX12V,SILVER,"66,15%","78,60%","83,35%","85,67%",https://www.cybenetics.com/d/cybenetics_vEs.pdf
Corsair,VS650 (Sample #2),ATX12V,BRONZE,"66,06%","75,42%","79,87%","82,17%",https://www.cybenetics.com/d/cybenetics_UnS.pdf
High Power,HP1-H850GD-F14C,ATX12V,GOLD,"66,05%","78,80%","82,73%","85,69%",https://www.cybenetics.com/d/cybenetics_TFO.pdf
Cooler Master,MWE Gold 850 V2 (Fixed),ATX12V,GOLD,"66,00%","77,47%","82,60%","84,66%",https://www.cybenetics.com/d/cybenetics_Fz7.pdf
Cougar,Polar 1200W,ATX12V,PLATINUM,"65,99%","78,23%","82,89%","86,03%",https://www.cybenetics.com/d/cybenetics_ssX.pdf
Thermaltake,TR2 S 600W,ATX12V,BRONZE,"65,97%","75,91%","79,85%","82,01%",https://www.cybenetics.com/d/cybenetics_e5U.pdf
Corsair,VS650,ATX12V,BRONZE,"65,96%","75,52%","79,93%","82,25%",https://www.cybenetics.com/d/cybenetics_wEb.pdf
Cougar,GX-F650 (#2),ATX12V,GOLD,"65,94%","77,85%","82,60%","85,22%",https://www.cybenetics.com/d/cybenetics_dLN.pdf
Cougar,GX-F650,ATX12V,GOLD,"65,91%","78,06%","82,68%","85,45%",https://www.cybenetics.com/d/cybenetics_QUY.pdf
Corsair,TX750M,ATX12V,PLATINUM,"65,90%","78,95%","82,70%","85,55%",https://www.cybenetics.com/d/cybenetics_sGx.pdf
EVGA,SuperNOVA 1000 G5,ATX12V,,"65,84%","78,45%","83,50%","85,75%",https://www.cybenetics.com/d/cybenetics_U8C.pdf
Cooler Master,V550 Gold,ATX12V,,"65,83%","81,68%","85,62%","87,55%",https://www.cybenetics.com/d/cybenetics_xbY.pdf
Corsair,CX750M,ATX12V,SILVER,"65,81%","74,16%","79,69%","82,27%",https://www.cybenetics.com/d/cybenetics_Bkm.pdf
Corsair,AX1600i,ATX12V,TITANIUM,"65,80%","80,98%","85,53%","87,88%",https://www.cybenetics.com/d/cybenetics_XWg.pdf
Corsair,VS550,ATX12V,BRONZE,"65,79%","76,03%","80,38%","82,63%",https://www.cybenetics.com/d/cybenetics_bmO.pdf
Thermaltake,Toughpower Grand RGB 1050W Platinum,ATX12V,PLATINUM,"65,75%","78,28%","82,30%","83,55%",https://www.cybenetics.com/d/cybenetics_doS.pdf
SilverStone,Extreme 850R Platinum,SFX,PLATINUM,"65,71%","78,47%","83,68%","86,41%",https://www.cybenetics.com/d/cybenetics_fKO.pdf
Corsair,TX650M (Sample #2),ATX12V,GOLD,"65,68%","77,61%","82,68%","85,44%",https://www.cybenetics.com/d/cybenetics_R7M.pdf
Thermaltake,Toughpower Grand RGB 1050W Platinum (#2),ATX12V,PLATINUM,"65,66%","77,90%","82,88%","84,95%",https://www.cybenetics.com/d/cybenetics_Qai.pdf
EVGA,850 GQ,ATX12V,GOLD,"65,63%","77,59%","82,12%","84,42%",https://www.cybenetics.com/d/cybenetics_Txb.pdf
Cooler Master,G800 Gold,ATX12V,GOLD,"65,54%","77,14%","82,41%","84,85%",https://www.cybenetics.com/d/cybenetics_v83.pdf
Corsair,RM1000i,ATX12V,PLATINUM,"65,43%","79,16%","82,07%","84,72%",https://www.cybenetics.com/d/cybenetics_8iM.pdf
Chieftronic,SteelPower 750W,ATX12V,SILVER,"65,36%","72,35%","81,02%","84,10%",https://www.cybenetics.com/d/cybenetics_Stx.pdf
Cooler Master,V850 Platinum,ATX12V,SILVER,"65,34%","77,20%","81,82%","84,83%",https://www.cybenetics.com/d/cybenetics_q1y.pdf
SilverStone,Strider Titanium 1500W,ATX12V,PLATINUM,"65,33%","74,65%","81,02%","83,72%",https://www.cybenetics.com/d/cybenetics_Gby.pdf
Chieftec,Force 650W,ATX12V,BRONZE,"65,24%","75,63%","80,39%","83,02%",https://www.cybenetics.com/d/cybenetics_7et.pdf
Kolink,Continuum 850W,ATX12V,PLATINUM,"65,22%","78,40%","83,30%","86,60%",https://www.cybenetics.com/d/cybenetics_f1N.pdf
EVGA,SuperNOVA 1600 T2 (Sample #2),ATX12V,SILVER,"65,17%","77,50%","82,88%","85,58%",https://www.cybenetics.com/d/cybenetics_g4y.pdf
Casecom,850W,ATX12V,GOLD,"65,13%","77,08%","82,07%","84,48%",https://www.cybenetics.com/d/cybenetics_NUV.pdf
Corsair,VS550 (Sample #2),ATX12V,BRONZE,"65,07%","75,61%","79,83%","82,19%",https://www.cybenetics.com/d/cybenetics_CEU.pdf
Chieftec,Polaris 750W,ATX12V,GOLD,"65,01%","79,85%","84,13%","86,07%",https://www.cybenetics.com/d/cybenetics_RQ0.pdf
Corsair,HX1200i,ATX12V,,"64,94%","77,99%","83,69%","86,22%",https://www.cybenetics.com/d/cybenetics_n8r.pdf
Gigabyte,Aorus 850,ATX12V,PLATINUM,"64,94%","78,10%","83,34%","85,47%",https://www.cybenetics.com/d/cybenetics_WKV.pdf
Enermax,MarbleBron RGB 850,ATX12V,SILVER,"64,91%","75,93%","81,44%","83,63%",https://www.cybenetics.com/d/cybenetics_VbA.pdf
Thermaltake,Toughpower GF1 1200W,ATX12V,PLATINUM,"64,83%","77,43%","82,61%","85,29%",https://www.cybenetics.com/d/cybenetics_pUG.pdf
EVGA,600 BQ,ATX12V,SILVER,"64,78%","76,49%","80,65%","83,18%",https://www.cybenetics.com/d/cybenetics_ZMC.pdf
Kolink,Enclave 700W,ATX12V,GOLD,"64,78%","77,17%","82,00%","84,82%",https://www.cybenetics.com/d/cybenetics_sQG.pdf
Channel Well Technology,CSB650V-B,ATX12V,SILVER,"64,69%","76,37%","81,18%","83,83%",https://www.cybenetics.com/d/cybenetics_sCa.pdf
Corsair,CX550,ATX12V,SILVER,"64,64%","76,18%","80,30%","82,84%",https://www.cybenetics.com/d/cybenetics_au5.pdf
Riotoro,Builder Edition 1200W,ATX12V,PLATINUM,"64,64%","77,37%","83,31%","85,82%",https://www.cybenetics.com/d/cybenetics_CUj.pdf
Corsair,VS650 (Sample #3),ATX12V,BRONZE,"64,56%","74,39%","79,25%","81,52%",https://www.cybenetics.com/d/cybenetics_DhO.pdf
Gigabyte,P550B,ATX12V,,"64,56%","75,06%","79,41%","81,86%",https://www.cybenetics.com/d/cybenetics_gxG.pdf
Cooler Master,Masterwatt Lite 400W,ATX12V,,"64,47%","74,92%","79,89%","82,18%",https://www.cybenetics.com/d/cybenetics_fD8.pdf
Cooler Master,XG Plus 850 Platinum,ATX12V,PLATINUM,"64,37%","76,95%","82,19%","85,46%",https://www.cybenetics.com/d/cybenetics_nod.pdf
Thermaltake,Toughpower PF1 ARGB 1200W,ATX12V,PLATINUM,"64,22%","76,73%","80,77%","84,31%",https://www.cybenetics.com/d/cybenetics_uzN.pdf
Seasonic,X-Series 1250W,ATX12V,PLATINUM,"64,20%","75,94%","81,12%","83,35%",https://www.cybenetics.com/d/cybenetics_RAO.pdf
Corsair,CX650M,ATX12V,SILVER,"64,18%","76,38%","81,16%","83,96%",https://www.cybenetics.com/d/cybenetics_Vn3.pdf
Corsair,Vengeance 650M,ATX12V,,"64,16%","75,61%","80,63%","83,73%",https://www.cybenetics.com/d/cybenetics_RC9.pdf
Gigabyte,P750GM (#2),ATX12V,PLATINUM,"64,08%","82,32%","85,81%","88,28%",https://www.cybenetics.com/d/cybenetics_XaY.pdf
Seasonic,Prime Platinum 1200W,ATX12V,PLATINUM,"64,06%","76,85%","82,13%","85,03%",https://www.cybenetics.com/d/cybenetics_eSU.pdf
Corsair,TX850M,ATX12V,PLATINUM,"63,96%","77,21%","82,12%","85,16%",https://www.cybenetics.com/d/cybenetics_9gT.pdf
Cougar,STX 650,ATX12V,BRONZE,"63,92%","75,39%","80,10%","82,56%",https://www.cybenetics.com/d/cybenetics_4Nj.pdf
EVGA,450Β,ATX12V,BRONZE,"63,91%","74,99%","79,27%","81,59%",https://www.cybenetics.com/d/cybenetics_OBo.pdf
be quiet!,Straight Power 11 1000W,ATX12V,GOLD,"63,84%","76,47%","81,24%","84,49%",https://www.cybenetics.com/d/cybenetics_Ynn.pdf
Gigabyte,P750GM,ATX12V,PLATINUM,"63,74%","81,11%","84,54%","87,29%",https://www.cybenetics.com/d/cybenetics_Pfv.pdf
Salcomp,ATX 1600W,ATX12V,TITANIUM,"63,49%","75,47%","81,27%","84,17%",https://www.cybenetics.com/d/cybenetics_7iD.pdf
SilverStone,Strider Titanium 1100W,ATX12V,PLATINUM,"63,47%","67,21%","83,35%","88,10%",https://www.cybenetics.com/d/cybenetics_d1Z.pdf
Gigabyte,P450B,ATX12V,,"63,40%","74,58%","79,33%","81,71%",https://www.cybenetics.com/d/cybenetics_cfI.pdf
Thermaltake,Toughpower PF3 1200W,ATX12V,PLATINUM,"63,36%","79,65%","84,01%","86,99%",https://www.cybenetics.com/d/cybenetics_CP9.pdf
EVGA,430W (#2),ATX12V,,"63,33%","74,36%","78,54%","80,63%",https://www.cybenetics.com/d/cybenetics_MaQ.pdf
SilverStone,SFX 650W,SFX,GOLD,"63,29%","67,70%","81,59%","83,94%",https://www.cybenetics.com/d/cybenetics_MpN.pdf
Raijintek,Ermis 450B,SFX,BRONZE,"63,10%","75,18%","80,48%","82,79%",https://www.cybenetics.com/d/cybenetics_n33.pdf
Antec,Signature Platinum 1300W,ATX12V,PLATINUM,"62,96%","74,43%","79,65%","83,34%",https://www.cybenetics.com/d/cybenetics_5is.pdf
Apexgaming,AG-850M,ATX12V,GOLD,"62,91%","75,50%","81,13%","83,47%",https://www.cybenetics.com/d/cybenetics_rec.pdf
Corsair,CX850M,ATX12V,SILVER,"62,71%","74,64%","79,51%","82,21%",https://www.cybenetics.com/d/cybenetics_xRm.pdf
Zalman,EBT 750W,ATX12V,GOLD,"62,70%","76,39%","80,71%","83,12%",https://www.cybenetics.com/d/cybenetics_Rsr.pdf
Zalman,EBT 750W,ATX12V,GOLD,"62,70%","76,39%","80,71%","83,12%",https://www.cybenetics.com/d/cybenetics_Rsr.pdf
SilverStone,HELA 2050 Platinum,ATX12V,PLATINUM,"62,53%","67,79%","74,02%","77,85%",https://www.cybenetics.com/d/cybenetics_eeN.pdf
Chieftronic,PowerPlay 1050W,ATX12V,PLATINUM,"62,43%","76,81%","82,28%","85,26%",https://www.cybenetics.com/d/cybenetics_ktF.pdf
FSP Technology Inc.,AURUM PT 1200W,ATX12V,PLATINUM,"62,38%","75,30%","81,03%","83,87%",https://www.cybenetics.com/d/cybenetics_4sv.pdf
Apexgaming,AG-850M (#2),ATX12V,GOLD,"62,33%","75,27%","81,00%","83,70%",https://www.cybenetics.com/d/cybenetics_CIq.pdf
EVGA,500B,ATX12V,,"62,12%","73,54%","78,24%","80,61%",https://www.cybenetics.com/d/cybenetics_qzH.pdf
FSP Technology Inc.,Hydro PTM Pro 1200W,ATX12V,SILVER,"61,95%","74,96%","80,58%","83,79%",https://www.cybenetics.com/d/cybenetics_Tdp.pdf
FSP Technology Inc.,Hydro PTM Pro 1200W (#2),ATX12V,SILVER,"61,83%","74,92%","80,58%","83,80%",https://www.cybenetics.com/d/cybenetics_Dym.pdf
SilverStone,Decathlon DA1650,ATX12V,PLATINUM,"61,53%","76,99%","82,55%","85,64%",https://www.cybenetics.com/d/cybenetics_wqw.pdf
Fractal Design,ION+ 860P,ATX12V,PLATINUM,"61,51%","79,85%","84,68%","87,56%",https://www.cybenetics.com/d/cybenetics_Wlk.pdf
EVGA,650 N1,ATX12V,BRONZE,"61,33%","72,45%","77,78%","80,15%",https://www.cybenetics.com/d/cybenetics_itG.pdf
